Incident_ID,Date_Reported,LGA,Community,Company,Cause,Volume_Spilled_Bbls,Status,Date_Remediated,Turnaround_Days
SPILL-0001,2023-01-01,Khana,Community37,NAOC,Corrosion,69.24,In-Progress,,
SPILL-0002,2023-01-04,Ikwerre,Community32,NAOC,Corrosion,1.55,Remediated,2023-02-22,49.0
SPILL-0003,2023-01-07,Abua/Odual,Community33,TotalEnegies,Sabotage,100.95,In-Progress,,
SPILL-0004,2023-01-10,Bonny,Community1,SPDC,Sabotage,21.86,Reported,,
SPILL-0005,2023-01-13,Oyigbo,Community19,NAOC,Sabotage,25.31,Remediated,2023-03-01,47.0
SPILL-0006,2023-01-16,Etche,Community2,NDPR,Corrosion,5.54,Closed,2023-03-01,44.0
SPILL-0007,2023-01-19,Khana,Community44,NAOC,Sabotage,66.86,In-Progress,,
SPILL-0008,2023-01-22,Emuoha,Community26,NAOC,Sabotage,10.06,In-Progress,,
SPILL-0009,2023-01-25,Ogu/Bolo,Community32,SPDC,Sabotage,41.5,In-Progress,,
SPILL-0010,2023-01-28,Bonny,Community6,ExxonMobil,Sabotage,91.85,Remediated,2023-02-05,8.0
SPILL-0011,2023-01-31,Bonny,Community32,NAOC,Corrosion,4.67,Closed,2023-03-01,29.0
SPILL-0012,2023-02-03,Etche,Community4,TotalEnegies,Corrosion,38.32,Remediated,2023-02-20,17.0
SPILL-0013,2023-02-06,Eleme,Community11,ExxonMobil,Sabotage,13.28,Remediated,2023-05-03,86.0
SPILL-0014,2023-02-09,Oyigbo,Community17,NDPR,Corrosion,21.0,Closed,2023-03-18,37.0
SPILL-0015,2023-02-12,Okrika,Community38,SPDC,Sabotage,32.12,Remediated,2023-03-04,20.0
SPILL-0016,2023-02-15,Omuma,Community24,NDPR,Sabotage,21.93,In-Progress,,
SPILL-0017,2023-02-18,Etche,Community5,ExxonMobil,Equipment Failure,52.32,In-Progress,,
SPILL-0018,2023-02-22,Obio/Akpor,Community34,ExxonMobil,Sabotage,32.66,Remediated,2023-04-22,59.0
SPILL-0019,2023-02-25,Degema,Community6,ExxonMobil,Sabotage,43.88,Remediated,2023-04-12,46.0
SPILL-0020,2023-02-28,Gokana,Community22,NDPR,Equipment Failure,66.75,Remediated,2023-04-07,38.0
SPILL-0021,2023-03-03,Obio/Akpor,Community11,ExxonMobil,Sabotage,40.79,Closed,2023-04-06,34.0
SPILL-0022,2023-03-06,Etche,Community48,NDPR,Sabotage,44.16,Remediated,2023-03-23,17.0
SPILL-0023,2023-03-09,Port Harcourt,Community16,ExxonMobil,Sabotage,41.56,Remediated,2023-03-26,17.0
SPILL-0024,2023-03-12,Degema,Community33,TotalEnegies,Sabotage,23.8,Remediated,2023-04-03,22.0
SPILL-0025,2023-03-15,Omuma,Community9,ExxonMobil,Sabotage,20.58,Remediated,2023-04-20,36.0
SPILL-0026,2023-03-18,Degema,Community6,NDPR,Sabotage,114.95,Closed,2023-04-30,43.0
SPILL-0027,2023-03-21,Ahoada West,Community16,NAOC,Equipment Failure,46.77,Remediated,2023-05-10,50.0
SPILL-0028,2023-03-24,Andoni,Community29,ExxonMobil,Equipment Failure,14.01,In-Progress,,
SPILL-0029,2023-03-27,Ahoada East,Community3,NAOC,Corrosion,34.48,Closed,2023-06-01,66.0
SPILL-0030,2023-03-30,Abua/Odual,Community20,TotalEnegies,Equipment Failure,20.05,Remediated,2023-06-04,66.0
SPILL-0031,2023-04-02,Abua/Odual,Community36,SPDC,Equipment Failure,135.67,Remediated,2023-06-02,61.0
SPILL-0032,2023-04-05,Emuoha,Community19,TotalEnegies,Sabotage,0.38,Remediated,2023-04-25,20.0
SPILL-0033,2023-04-08,Degema,Community26,ExxonMobil,Sabotage,12.77,Remediated,2023-06-07,60.0
SPILL-0034,2023-04-11,Ogu/Bolo,Community3,NAOC,Sabotage,22.73,Closed,2023-04-25,14.0
SPILL-0035,2023-04-15,Ikwerre,Community19,NAOC,Sabotage,33.45,In-Progress,,
SPILL-0036,2023-04-18,Okrika,Community20,NDPR,Sabotage,95.13,Remediated,2023-05-17,29.0
SPILL-0037,2023-04-21,Tai,Community32,NAOC,Sabotage,4.6,Reported,,
